9.16,2.96
9.13,2.80
9.12,2.65
9.11,2.50
8.96,2.45
8.79,2.43
8.77,2.27
8.65,2.12
8.54,2.01
8.38,1.96
8.23,1.92
8.07,1.93
7.90,1.89
7.73,1.87
7.55,1.82
7.38,1.81
7.21,1.77
7.05,1.72
6.90,1.67
6.74,1.63
6.59,1.59
6.41,1.56
6.25,1.55
6.10,1.51
5.95,1.48
5.76,1.49
5.61,1.51
5.45,1.51
5.29,1.52
5.14,1.53
4.96,1.57
4.81,1.63
4.67,1.70
4.52,1.77
4.36,1.83
4.23,1.90
4.27,2.04
4.24,2.20
4.21,2.35
4.15,2.51
4.13,2.66
4.11,2.84
4.12,3.00
4.12,3.16
4.12,3.32
4.12,3.47
4.13,3.64
4.12,3.79
4.13,3.95
4.14,4.12
4.15,4.29
4.24,4.44
4.38,4.54
4.53,4.59
4.05,4.62
4.22,4.60
4.38,4.56
4.51,4.49
4.69,4.43
4.87,4.40
5.04,4.40
5.22,4.44
5.37,4.49
5.53,4.56
5.63,4.69
5.69,4.82
5.74,4.97
5.81,5.16
5.86,5.32
5.90,5.46
5.99,5.58
6.15,5.67
6.29,5.72
6.46,5.77
6.61,5.80
6.76,5.81
6.92,5.82
7.10,5.80
7.27,5.77
7.42,5.76
7.59,5.72
7.74,5.68
7.88,5.62
8.03,5.55
8.16,5.47
8.31,5.38
8.43,5.26
8.54,5.15
8.75,5.17
8.91,5.20
9.08,5.20
9.24,5.20
9.37,5.11
9.50,5.01
9.64,4.92
9.77,4.83
9.86,4.69
9.87,4.53
9.83,4.36
9.79,4.20
9.72,4.06
9.64,3.90
9.56,3.76
9.48,3.61
9.40,3.48
9.09,3.49
9.06,3.32
9.03,3.17
9.00,3.02
